
Time    Lng    Lat    Alt    Yaw    Pitch    Roll
2020/05/29-23:36:24:824    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:24:917    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:25:019    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:25:122    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:25:225    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:25:334    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:25:430    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:25:533    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:25:632    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:25:732    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
